Date Purchased,Quantity,Card,Player,Year,Set,Variation,Number,Category,Condition,Investment,Current Value,Potential Profit,Ladder ID,Slab Serial #,Population,Notes
12/20/2021,1,2021-22 Panini NBA Sticker & Card Collection Christian Wood European Edition #340 Raw,Christian Wood,2021-22,Panini NBA Sticker & Card Collection,European Edition,340,Basketball,Raw,10,14.75,4.75,,,,
12/20/2021,1,2021-20 Panini NBA Sticker & Card Collection  Paul George European Edition Cracked Ice Sticker #353 Raw,Paul George,2021-20,Panini NBA Sticker & Card Collection ,European Edition Cracked Ice Sticker,353,Basketball,Raw,22,111.59,89.59,,,,
12/20/2021,1,2021-22 Panini NBA Sticker & Card Collection Deandre Ayton European Edition Cracked Ice Sticker #433 Raw,Deandre Ayton,2021-22,Panini NBA Sticker & Card Collection,European Edition Cracked Ice Sticker,433,Basketball,Raw,22,165.25,143.25,,,,
12/20/2021,1,2021  Panini Select Tom Brady Select Numbers #SN-10 PSA 10,Tom Brady,2021 ,Panini Select,Select Numbers,SN-10,Football,PSA 10,357,658.00,301.00,,75756176,1,
12/23/2020,1,2020 Panini Illusions Tom Brady Retail #1 SGC 9,Tom Brady,2020,Panini Illusions,Retail,1,Football,SGC 9,5000,16936.38,11936.38,,0805813,1,
12/20/2020,1,2020 Panini Illusions Tom Brady Retail #1 SGC 9.5,Tom Brady,2020,Panini Illusions,Retail,1,Football,SGC 9.5,5000,16936.38,11936.38,,BAC001888719,1,
12/27/2021,1,2021-22 Panini NBA Sticker & Card Collection  Anthony Edwards European Edition Card #397 Raw,Anthony Edwards,2021-22,Panini NBA Sticker & Card Collection ,European Edition Card,397,Basketball,Raw,22,793.18,771.18,,,,
12/26/2021,1,2021-22 Panini NBA Sticker & Card Collection Jamal Murray European Edition Card #318 Raw,Jamal Murray,2021-22,Panini NBA Sticker & Card Collection,European Edition Card,318,Basketball,Raw,22,6.75,-15.25,,,,
12/28/2021,1,2021-22 Panini NBA Sticker & Card Collection  Michael Porter Jr. European Edition Sticker #315 Raw,Michael Porter Jr.,2021-22,Panini NBA Sticker & Card Collection ,European Edition Sticker,315,Basketball,Raw,12,81.89,69.89,,,,
12/29/2021,1,2021-22 Panini NBA Sticker & Card Collection  Mo Bamba European Edition Card #260 Raw,Mo Bamba,2021-22,Panini NBA Sticker & Card Collection ,European Edition Card,260,Basketball,Raw,22,49.64,27.64,,,,
